17,5.9,8.5,8.75,6'5.5,203.8,6'9.5
23,3.6,9,9.75,6'9,208.4,7'0
44,7.1,9.25,9.5,7'2.5,208,7'7
57,5,7.5,9.25,6'2.75,179,6'3.25
47,6,8.75,9.5,6'7.25,220.8,6'9.25
21,4.9,8.25,9.5,6'8.25,207.2,6'8.25
31,4.5,9.25,9.5,6'11.75',216.6,7'2.5
6,5,8.25,8.5,6'6.75,194.2,6'9.5
33,5.5,8.75,9,6'0.25,199.4,6'6
34,5.4,9.25,10,6'10.25,237.0,7'3.25
38,5.9,9.25,9.25,6'10.5,237.6,7'2.25
55,5.7,8,8.75,6'2.25,167.8,6'4.5
56,5.1,8,8.25,6'3,180.4,6'5.5
8,5,9.25,10.5,6'11.5,218.6,7'3.5
59,6.1,6.1,10.25,6'10.25,232.8,7'1.75
13,7.1,8,8.75,6'6,192.4,6'3.25
46,8.4,9.5,9.75,6'4,235.4,7'1.25
24,6.5,8.25,9.5,6'5.5,194.4,6'4
29,5.6,8,9.25,6'6,216.4,6'9.25
11,5.8,8,8.5,6'8.5,205.2,6'10
27,5.1,9.25,10.75,6'10.25,256.2,7'3
25,5.9,8.75,10,6'4.5,224.2,7'1.25
48,4,9.5,9.25,6'6.5,204.6,6'7.75
36,5,8.25,9,6'5.5,192.2,6'10.25'
52,5.7,9,10,6'9.75,191.6,7'0.25
43,6.1,8.25,8.5,6'4.25,202.4,6'7.25
32,4.6,9.25,9.25,6'9.5,209.6,7'1.75
58,4.9,9,10,6'5.75,205.6,6'10.75
41,6.3,9,9.5,6'7.25,254.4,6'11.75
28,7.5,8.25,8.5,6'5.5,190.8,6'6.75
30,5.1,8.75,8.75,6'5.5,212.6,6'9
10,4.7,9,9,6'8,207.8,7'0.5
45,3.9,9,10.5,6'8.5,214,7'1
19,5.6,8.5,9,6'11,227.2,6'10.5
42,6.8,8.75,9,6'5.25,240.6,6'9.75
54,4.7,8.75,9.25,6'5.5,196.8,7'0.25
12,8.6,9,10.25,6'8,230.4,7'2.25
51,6.6,8,9.75,5'10.75,172.4,6'2.25
49,6.1,8.5,9,6'4.25,206.6,6'9
7,4.3,7.75,9,6'4.75,191.4,6'5
22,5.4,9,10.5,6'7.5,240.2,6'9.75
26,4.6,8.25,9.5,6'7.5,195.8,6'10