1,32.9,19.9,3,5
2,21.4,11.5,0.7,5.8
3,29.7,16.5,6.5,6.3
4,27.7,9.1,1.3,4.4
5,32,9.3,1.9,3.3
6,12,4.6,0.4,3.3
7,25.6,6.5,4.8,2.9
8,11.8,4.8,0.6,2.5
9,22.9,6.3,1.2,5
10,6,2.1,0.1,1.5
11,18.7,6.9,1,3
12,30.6,13,5.3,3.1
13,16,6,2.2,1.4
14,13.5,4.2,0.5,2.6
15,28.8,14.6,4.5,5.2
16,22,7.9,0.9,6.8
17,22,7.4,1.9,4.6
18,10.5,2.3,0.7,1.9
19,28.1,12.5,1.6,4.9
20,14.2,5.4,0.6,4.3
21,19.6,10,2.5,2.1
22,9.5,3.7,0.2,1.8
23,3.2,1,0,0.8
24,17.5,7,1.7,3.4
25,19.1,10.8,2.1,2.1
26,17.7,6.7,1.7,2.3
27,3.4,0.9,0,0.9
28,24.3,6.7,1.1,3.8
29,17.4,6.5,2.5,2.3
30,23.5,10.1,1.8,3.2
31,5.1,1,0.5,0.5
32,5.8,2.3,0.1,1.4
33,5.4,1.8,0.3,1.6
34,25.8,9.2,3.2,3.1
35,17.5,6.1,1.2,4.1
36,3.9,1,0.2,1.1
37,3,0.7,0,1
38,15.4,5.2,3.4,1.9
39,3.4,1.5,0.3,0.5
40,3.5,1.5,0.2,1.2
41,7.5,2.7,1.1,0.7
42,5.8,2,0.1,1.2
43,7.5,2.9,0.4,0.6
44,,,,
45,12.8,6.5,0.6,2.5
46,6.2,2.1,0.3,1.1
47,,,,
48,12.1,4.1,2.3,1.5
49,9.3,3.5,0.5,0.9
50,7.4,3.5,0.8,0.9
51,,,,
52,21.5,8.6,1,4.7
53,4.5,1.9,0.5,0.4
54,3.9,1.5,0,0.8
55,12.8,6.3,0.3,1.9
56,3.9,2.6,0.4,0.1
57,8.1,3,0.5,2.8
58,8.1,3.2,0.5,2.6
59,13.2,7.4,1.3,1.4
60,8.1,3.2,0.7,1