1,PHI,Markelle Fultz,Washington
2,LAL,Lonzo Ball,UCLA
3,BOS,Jayson Tatum,Duke
4,PHO,Josh Jackson,Kansas
5,SAC,De'Aaron Fox,Kentucky
6,ORL,Jonathan Isaac,Florida State
7,MIN,Lauri Markkanen,Arizona
8,NYK,Frank Ntilikina,
9,DAL,Dennis Smith Jr.,NC State
10,SAC,Zach Collins,Gonzaga
11,CHO,Malik Monk,Kentucky
12,DET,Luke Kennard,Duke
13,DEN,Donovan Mitchell,Louisville
14,MIA,Bam Adebayo,Kentucky
15,POR,Justin Jackson,UNC
16,CHI,Justin Patton,Creighton
17,MIL,D.J. Wilson,Michigan
18,IND,T.J. Leaf,UCLA
19,ATL,John Collins,Wake Forest
20,POR,Harry Giles,Duke
21,OKC,Terrance Ferguson,
22,BRK,Jarrett Allen,Texas
23,TOR,OG Anunoby,Indiana
24,UTA,Tyler Lydon,Syracuse
25,ORL,Anžejs Pasečņiks,
26,POR,Caleb Swanigan,Purdue
27,BRK,Kyle Kuzma,Utah
28,LAL,Tony Bradley,UNC
29,SAS,Derrick White,Colorado
30,UTA,Josh Hart,Villanova
31,CHO,Frank Jackson,Duke
32,PHO,Davon Reed,Miami (FL)
33,ORL,Wesley Iwundu,Kansas State
34,SAC,Frank Mason III,Kansas
35,ORL,Ivan Rabb,California
36,PHI,Jonah Bolden,
37,BOS,Semi Ojeleye,SMU
38,CHI,Jordan Bell,Oregon
39,PHI,Jawun Evans,Oklahoma State
40,NOP,Dwayne Bacon,Florida State
41,ATL,Tyler Dorsey,Oregon
42,UTA,Thomas Bryant,Indiana
43,HOU,Isaiah Hartenstein,
44,NYK,Damyean Dotson,Oregon
45,HOU,Dillon Brooks,Oregon
46,PHI,Sterling Brown,SMU
47,IND,Ike Anigbogu,UCLA
48,MIL,Sindarius Thornwell,South Carolina
49,DEN,Vlatko Čančar,
50,PHI,Mathias Lessort,
51,DEN,Monte Morris,Iowa State
52,NOP,Edmond Sumner,Xavier
53,BOS,Kadeem Allen,Arizona
54,PHO,Alec Peters,Valparaiso
55,UTA,Nigel Williams-Goss,Gonzaga
56,BOS,Jabari Bird,California
57,BRK,Sasha Vezenkov,
58,NYK,Ognjen Jaramaz,
59,SAS,Jaron Blossomgame,Clemson
60,ATL,Alpha Kaba,