pid,Player,FG%,3P%,FT%,
1,Anthony Edwards,41.8,33,77.1,
2,James Wiseman,51.9,31.6,62.8,
3,LaMelo Ball,43,36.1,78.7,
4,Patrick Williams,48.6,39.6,73.6,
5,Isaac Okoro,41.3,27,71.9,
6,Onyeka Okongwu,64.4,0,63.2,
7,Killian Hayes,34.3,31.1,85.2,
8,Obi Toppin,51.5,28,70.2,
9,Deni Avdija,41.9,31.5,63.9,
10,Jalen Smith,43.1,22.2,80,
11,Devin Vassell,42.7,36.2,80.8,
12,Tyrese Haliburton,46.9,40.6,85.1,
13,Kira Lewis Jr.,37.6,30.2,84.6,
14,Aaron Nesmith,40.9,33.1,80,
15,Cole Anthony,40.4,35.2,84.3,
16,Isaiah Stewart,55.2,30.6,70.6,
17,Aleksej Pokusevski,34.1,27,72,
18,Josh Green,44.1,14.8,56.5,
19,Saddiq Bey,39.8,37,82.4,
20,Precious Achiuwa,47.8,17.6,51.5,
21,Tyrese Maxey,48.2,34.6,86,
22,Zeke Nnaji,49.2,43.5,73.9,
23,Leandro Bolmaro,20,0,100,
24,R.J. Hampton,43.1,34.4,64.2,
25,Immanuel Quickley,39.3,38.8,89.3,
26,Payton Pritchard,42.3,39.6,88.9,
27,Udoka Azubuike,50,0,80,
28,Jaden McDaniels,44.2,35,60,
29,Malachi Flynn,37,32.2,78.3,
30,Desmond Bane,46.4,40.8,84.6,
31,Tyrell Terry,31.3,0,33.3,
32,Vernon Carey Jr.,48.6,14.3,81.8,
33,Daniel Oturu,42.3,20,75,
34,Théo Maledon,36,32.2,74.8,
35,Xavier Tillman Sr.,55.1,30.3,65,
36,Tyler Bey,31.8,25,60,
37,Vit Krejci,0,0,100,
38,Saben Lee,46.4,29.6,68.4,
39,Elijah Hughes,31.3,33.3,83.3,
40,Robert Woodard,40,16.7,37.5,
41,Tre Jones,49.1,37.5,90.9,
42,Nick Richards,60.5,0,72.2,
43,Jahmi'us Ramsey,40.9,27.3,71.4,
44,Marko Simonovic,0,0,0,
45,Jordan Nwora,42.9,39.8,76.5,
46,CJ Elleby,36.7,20,73.3,
47,Yam Madar,0,0,0,
48,Nico Mannion,34.2,36.7,82.1,
49,Isaiah Joe,34.6,34.4,76,
50,Skylar Mays,46.6,35.7,90,
51,Justinian Jessup,0,0,0,
52,Kenyon Martin Jr.,52.1,35.7,72.9,
53,Cassius Winston,42.4,47.1,83.3,
54,Cassius Stanley,30.2,23.1,77.8,
55,Jay Scrubb,42.6,29.4,85.7,
56,Grant Riller,66.7,50,0,
57,Reggie Perry,41,19,76.9,
58,Paul Reed,53.6,0,50,
59,Jalen Harris,50,47.2,77.8,
60,Sam Merrill,41.7,40,75,